outflow,temp,(pH(-)),BOD,COD,SS,T-N,T-P,Escherichia coli
1530,13,7.16,1.5,9.7,7,4.607,0.181,31
1279,13.2,6.99,1.4,8.7,5,3.875,0.117,30
1369,13,6.83,1.1,7.7,4,5.427,0.089,31
1451,12.8,7.05,2.1,7.4,4,6.14,0.072,31
1254,13.2,6.83,1.4,7.6,6.3,11.026,0.125,24
1203,11.5,7.03,1,6.2,3.3,11.57,0.08,23
1426,11.6,6.97,2.7,8,4,6.556,0.117,23
1071,11.9,7.08,1.1,8,2.3,7.296,0.101,24
1091,12.5,6.93,1.3,7.8,1.2,6.32,0.09,32
1134,12.7,7.1,0.9,7.5,4.3,6.071,0.066,35
1118,11.9,6.94,1.8,8.1,2.7,5.46,0.052,32
1133,11.7,6.71,1.1,8.1,2.3,15.928,0.068,33
1397,11.7,6.86,1,8.1,2.7,6.071,0.066,34
1023,11.7,6.86,1.1,7.6,4.7,5.435,0.128,30
1095,13.8,7.05,1.1,9.2,7.7,4.884,0.196,31
1192,15.7,7.03,2.3,7.7,3,5.178,0.131,34
1248,12,6.86,2.2,8.7,1.3,6.262,0.15,36
1106,12,6.59,1.8,8.4,6,6.18,0.167,38
1259,12.3,6.52,2.4,9.2,5,8.497,0.134,37
1353,12.3,6.86,2.6,8,1.3,8.247,0.13,39
1516,12.4,7.01,1.2,8.5,5.3,7.246,0.177,39
1290,13.1,7.03,0.9,8.1,3.3,4.15,0.19,30
1458,12.7,7,2.3,8.6,3.7,5.934,0.152,10
1107,12.7,7.5,2.4,9,6,3.618,0.151,38
1517,12,7.14,1.8,9.8,6,4.88,0.12,38
1166,13.6,7.01,2,7.4,1.7,6.232,0.044,37
1483,13,7.01,2.1,7,3.3,6.222,0.031,43
1110,12.5,7.3,1.2,8.2,5.3,4.795,0.046,34
1380,13.4,7.08,1.9,9.7,1.7,7.997,0.157,34
1026,13.4,7.08,2,10.3,4.3,4.293,0.091,17
1300,13.1,7.04,1.2,10.9,5,4.598,0.064,41
1005,13.4,6.98,2.2,10.8,5,5.908,0.097,45
1288,13.1,7.06,1.4,8.3,1.7,7.714,0.053,16
1112,13.5,7.1,1,8.6,1.7,8.398,0.054,19
1337,13.6,6.92,2.6,9.9,5.7,5.522,0.066,17
1113,13.6,6.93,0.9,6.9,1.7,5.552,0.036,30
